year,round,region_number,region_name,seed1,score1,team1,seed2,score2,team2
2018,2,3,East,2,76,Purdue,10,73,Butler
2018,2,3,East,3,69,Texas Tech,6,66,Florida
2018,2,3,East,13,71,Marshall,5,94,West Virginia
2018,2,4,Midwest,1,83,Kansas,8,79,Seton Hall
2018,2,4,Midwest,2,87,Duke,7,62,Rhode Island
2018,2,4,Midwest,3,53,Michigan St,11,55,Syracuse
2018,2,4,Midwest,4,53,Auburn,5,84,Clemson
2018,3,1,South,9,61,Kansas St,5,58,Kentucky
2018,3,1,South,7,68,Nevada,11,69,Loyola Chicago
2018,3,2,West,9,75,Florida St,4,60,Gonzaga
2018,3,2,West,7,72,Texas A&M,3,99,Michigan
2018,3,3,East,1,90,Villanova,5,78,West Virginia
2018,3,3,East,2,65,Purdue,3,78,Texas Tech
2018,3,4,Midwest,1,80,Kansas,5,76,Clemson
2018,3,4,Midwest,2,69,Duke,11,65,Syracuse
2018,4,1,South,9,62,Kansas St,11,78,Loyola Chicago
2018,4,2,West,9,54,Florida St,3,58,Michigan
2018,4,3,East,1,71,Villanova,3,59,Texas Tech
2018,4,4,Midwest,1,85,Kansas,2,81,Duke
2018,5,1,Final Four,11,57,Loyola Chicago,3,69,Michigan
2018,5,2,Final Four,1,95,Villanova,1,79,Kansas
2018,6,1,Championship,3,62,Michigan,1,79,Villanova
2019,1,1,East,1,85,Duke,16,62,North Dakota St
2019,1,1,East,2,76,Michigan St,15,65,Bradley
2019,1,1,East,3,79,LSU,14,74,Yale
2019,1,1,East,4,66,Virginia Tech,13,52,St Louis
2019,1,1,East,5,76,Mississippi St,12,80,Liberty
2019,1,1,East,6,79,Maryland,11,77,Belmont
2019,1,1,East,7,76,Louisville,10,86,Minnesota
2019,1,1,East,8,58,VCU,9,73,Central Florida
2019,1,2,West,1,87,Gonzaga,16,49,Fairleigh Dickinson
2019,1,2,West,2,74,Michigan,15,55,Montana
2019,1,2,West,3,72,Texas Tech,14,57,Northern Kentucky
2019,1,2,West,4,76,Florida St,13,69,Vermont
2019,1,2,West,5,64,Marquette,12,83,Murray St
2019,1,2,West,6,91,Buffalo,11,74,Arizona St
2019,1,2,West,7,61,Nevada,10,70,Florida
2019,1,2,West,8,69,Syracuse,9,78,Baylor
2019,1,3,South,1,71,Virginia,16,56,Gardner Webb
2019,1,3,South,2,77,Tennessee,15,70,Colgate
2019,1,3,South,3,61,Purdue,14,48,Old Dominion
2019,1,3,South,4,64,Kansas St,13,70,UC Irvine
2019,1,3,South,5,54,Wisconsin,12,72,Oregon
2019,1,3,South,6,61,Villanova,11,57,St Marys
2019,1,3,South,7,72,Cincinnati,10,79,Iowa
2019,1,3,South,8,72,Ole Miss,9,95,Oklahoma
2019,1,4,Midwest,1,88,North Carolina,16,73,Iona
2019,1,4,Midwest,2,79,Kentucky,15,44,Abilene Christian
2019,1,4,Midwest,3,84,Houston,14,55,Georgia St
2019,1,4,Midwest,4,87,Kansas,13,53,Northeastern
2019,1,4,Midwest,5,78,Auburn,12,77,New Mexico St
2019,1,4,Midwest,6,59,Iowa St,11,62,Ohio St
2019,1,4,Midwest,7,84,Wofford,10,68,Seton Hall
2019,1,4,Midwest,8,61,Utah St,9,78,Washington
2019,2,1,South,1,77,Duke,9,76,Central Florida
2019,2,1,South,2,70,Michigan St,10,50,Minnesota
2019,2,1,South,3,69,LSU,6,67,Maryland
2019,2,1,South,4,67,Virginia Tech,12,58,Liberty
2019,2,2,West,1,83,Gonzaga,9,71,Baylor
2019,2,2,West,2,64,Michigan,10,49,Florida
2019,2,2,West,3,78,Texas Tech,6,58,Buffalo
2019,2,2,West,4,90,Florida St,12,62,Murray St
2019,2,3,East,1,63,Virginia,9,51,Oklahoma
2019,2,3,East,2,83,Tennessee,10,77,Iowa
2019,2,3,East,3,87,Purdue,6,61,Villanova
2019,2,3,East,13,54,UC Irvine,12,73,Oregon
2019,2,4,Midwest,1,81,North Carolina,9,59,Washington
2019,2,4,Midwest,2,62,Kentucky,7,56,Wofford
2019,2,4,Midwest,3,74,Houston,11,59,Ohio St
2019,2,4,Midwest,4,75,Kansas,5,89,Auburn
2019,3,1,South,1,75,Duke,4,73,Virginia Tech
2019,3,1,South,2,80,Michigan St,3,63,LSU
2019,3,2,West,1,72,Gonzaga,4,58,Florida St
2019,3,2,West,2,44,Michigan,3,63,Texas Tech
2019,3,3,East,1,53,Virginia,12,49,Oregon
2019,3,3,East,2,94,Tennessee,3,99,Purdue
2019,3,4,Midwest,1,80,North Carolina,5,97,Auburn
2019,3,4,Midwest,2,62,Kentucky,3,58,Houston
2019,4,1,South,1,67,Duke,2,68,Michigan St
2019,4,2,West,1,69,Gonzaga,3,75,Texas Tech
2019,4,3,East,1,80,Virginia,3,75,Purdue
2019,4,4,Midwest,5,77,Auburn,2,71,Kentucky
2019,5,1,Final Four,2,51,Michigan St,3,61,Texas Tech
2019,5,2,Final Four,1,63,Virginia,5,62,Auburn
2019,6,1,Championship,3,77,Texas Tech,1,85,Virginia
